date,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,100000.0
2024-02-02,100000.0
2024-02-05,100000.0
2024-02-06,100000.0
2024-02-07,100000.0
2024-02-08,100000.0
2024-02-09,100000.0
2024-02-12,100000.0
2024-02-13,100000.0
2024-02-14,100000.0
2024-02-15,100000.0
2024-02-16,100000.0
2024-02-20,100000.0
2024-02-21,100000.0
2024-02-22,100000.0
2024-02-23,100000.0
2024-02-26,100000.0
2024-02-27,100000.0
2024-02-28,100000.0
2024-02-29,100000.0
2024-03-01,100000.0
2024-03-04,100000.0
2024-03-05,100000.0
2024-03-06,100000.0
2024-03-07,100000.0
2024-03-08,100000.0
2024-03-11,100000.0
2024-03-12,100000.0
2024-03-13,100000.0
2024-03-14,100000.0
2024-03-15,100016.13
2024-03-18,100033.71
2024-03-19,100088.81
2024-03-20,100057.23
2024-03-21,100075.88
2024-03-22,100075.53
2024-03-25,100075.53
2024-03-26,100029.64
2024-03-27,100016.45
2024-03-28,100016.45
2024-04-01,100036.12
2024-04-02,100055.24
2024-04-03,100068.24
2024-04-04,100073.47
2024-04-05,100103.82
2024-04-08,100103.87
2024-04-09,100103.87
2024-04-10,100103.87
2024-04-11,100103.87
2024-04-12,100103.87
2024-04-15,100103.87
2024-04-16,100103.87
2024-04-17,100103.87
2024-04-18,100103.87
2024-04-19,100103.87
2024-04-22,100103.87
2024-04-23,100103.87
2024-04-24,100103.87
2024-04-25,100103.87
2024-04-26,100103.87
2024-04-29,100103.87
2024-04-30,100103.87
2024-05-01,100103.87
2024-05-02,100103.87
2024-05-03,100103.87
2024-05-06,100103.87
2024-05-07,100103.87
2024-05-08,100103.87
2024-05-09,100103.87
2024-05-10,100103.87
2024-05-13,100103.87
2024-05-14,100103.87
2024-05-15,100103.87
2024-05-16,100103.87
2024-05-17,100103.87
2024-05-20,100103.87
2024-05-21,100103.87
2024-05-22,100103.87
2024-05-23,100103.87
2024-05-24,100103.87
2024-05-28,100103.87
2024-05-29,100103.87
2024-05-30,100103.87
2024-05-31,100103.87
2024-06-03,100103.87
2024-06-04,100103.87
2024-06-05,100103.87
2024-06-06,100103.87
2024-06-07,100103.87
2024-06-10,100103.87
2024-06-11,100103.87
2024-06-12,100103.87
2024-06-13,100103.87
2024-06-14,100103.87
2024-06-17,100103.87
2024-06-18,100103.87
2024-06-20,100103.87
2024-06-21,100103.87
2024-06-24,100103.87
2024-06-25,100103.87
2024-06-26,100103.87
2024-06-27,100103.87
2024-06-28,100103.87
2024-07-01,100103.87
2024-07-02,100103.87
2024-07-03,100103.87
2024-07-05,100103.87
2024-07-08,100103.87
2024-07-09,100103.87
2024-07-10,100103.87
2024-07-11,100103.87
2024-07-12,100103.87
2024-07-15,100103.87
2024-07-16,100103.87
2024-07-17,100103.87
2024-07-18,100103.87
2024-07-19,100103.87
2024-07-22,100103.87
2024-07-23,100103.87
2024-07-24,100103.87
2024-07-25,100103.87
2024-07-26,100103.87
2024-07-29,100103.87
2024-07-30,100103.87
2024-07-31,100103.87
2024-08-01,100103.87
2024-08-02,100103.87
2024-08-05,100103.87
2024-08-06,100103.87
2024-08-07,100103.87
2024-08-08,100103.87
2024-08-09,100103.87
2024-08-12,100103.87
2024-08-13,100103.87
2024-08-14,100103.87
2024-08-15,100103.87
2024-08-16,100103.87
2024-08-19,100103.87
2024-08-20,100103.87
2024-08-21,100103.87
2024-08-22,100103.87
